id,head,relation,tail,head_entity_id,tail_entity_id,head_source_id,tail_source_id,derived
408,施工情况 加砂前,发生工况,工况 缝高延伸,E0401,E0409,condition:红页L1HF:15:加砂前,worktype:红页L1HF:15:加砂前:缝高延伸,no
409,工况 缝高延伸,开始时间,工况时间 2024-01-11 14:52:50,E0409,E0410,worktype:红页L1HF:15:加砂前:缝高延伸,worktype_time:红页L1HF:15:加砂前:缝高延伸,no
410,工况 缝高延伸,施工特征,砂比平均值: 无数据,E0409,E0411,worktype:红页L1HF:15:加砂前:缝高延伸,worktype_stats:红页L1HF:15:加砂前:缝高延伸:砂比:mean,no
411,工况 缝高延伸,施工特征,砂比方差: 无数据,E0409,E0412,worktype:红页L1HF:15:加砂前:缝高延伸,worktype_stats:红页L1HF:15:加砂前:缝高延伸:砂比:var,no
412,工况 缝高延伸,施工特征,排量平均值: 19.0154,E0409,E0413,worktype:红页L1HF:15:加砂前:缝高延伸,worktype_stats:红页L1HF:15:加砂前:缝高延伸:排量:mean,no
413,工况 缝高延伸,施工特征,排量方差: 9.442,E0409,E0414,worktype:红页L1HF:15:加砂前:缝高延伸,worktype_stats:红页L1HF:15:加砂前:缝高延伸:排量:var,no
414,工况 缝高延伸,施工特征,施工泵压平均值: 83.3544,E0409,E0415,worktype:红页L1HF:15:加砂前:缝高延伸,worktype_stats:红页L1HF:15:加砂前:缝高延伸:施工泵压:mean,no
415,工况 缝高延伸,施工特征,施工泵压方差: 28.0372,E0409,E0416,worktype:红页L1HF:15:加砂前:缝高延伸,worktype_stats:红页L1HF:15:加砂前:缝高延伸:施工泵压:var,no
416,工况 缝高延伸,处置建议,当前建议: 保持当前措施,E0409,E0417,worktype:红页L1HF:15:加砂前:缝高延伸,suggestion:红页L1HF:15:加砂前:缝高延伸,no
417,段号 15,包含施工阶段,施工情况 加砂中,E0393,E0418,segment:红页L1HF:15,condition:红页L1HF:15:加砂中,no
418,施工情况 加砂中,开始时间,施工时间 2024-01-11 15:02:30,E0418,E0419,condition:红页L1HF:15:加砂中,condition_time:红页L1HF:15:加砂中,no
419,施工情况 加砂中,施工特征,砂比平均值: 9.2755,E0418,E0420,condition:红页L1HF:15:加砂中,condition_stats:红页L1HF:15:加砂中:砂比:mean,no
420,施工情况 加砂中,施工特征,砂比方差: 6.7275,E0418,E0421,condition:红页L1HF:15:加砂中,condition_stats:红页L1HF:15:加砂中:砂比:var,no
421,施工情况 加砂中,施工特征,排量平均值: 22.5506,E0418,E0422,condition:红页L1HF:15:加砂中,condition_stats:红页L1HF:15:加砂中:排量:mean,no
422,施工情况 加砂中,施工特征,排量方差: 5.7469,E0418,E0423,condition:红页L1HF:15:加砂中,condition_stats:红页L1HF:15:加砂中:排量:var,no
423,施工情况 加砂中,施工特征,施工泵压平均值: 82.563,E0418,E0424,condition:红页L1HF:15:加砂中,condition_stats:红页L1HF:15:加砂中:施工泵压:mean,no
424,施工情况 加砂中,施工特征,施工泵压方差: 19.1333,E0418,E0425,condition:红页L1HF:15:加砂中,condition_stats:红页L1HF:15:加砂中:施工泵压:var,no
425,施工情况 加砂中,发生工况,工况 缝内暂堵,E0418,E0426,condition:红页L1HF:15:加砂中,worktype:红页L1HF:15:加砂中:缝内暂堵,no
426,工况 缝内暂堵,开始时间,工况时间 2024-01-11 15:24:40,E0426,E0427,worktype:红页L1HF:15:加砂中:缝内暂堵,worktype_time:红页L1HF:15:加砂中:缝内暂堵,no
427,工况 缝内暂堵,施工特征,砂比平均值: 6.8697,E0426,E0428,worktype:红页L1HF:15:加砂中:缝内暂堵,worktype_stats:红页L1HF:15:加砂中:缝内暂堵:砂比:mean,no
428,工况 缝内暂堵,施工特征,砂比方差: 2.7585,E0426,E0429,worktype:红页L1HF:15:加砂中:缝内暂堵,worktype_stats:红页L1HF:15:加砂中:缝内暂堵:砂比:var,no
429,工况 缝内暂堵,施工特征,排量平均值: 24.048,E0426,E0430,worktype:红页L1HF:15:加砂中:缝内暂堵,worktype_stats:红页L1HF:15:加砂中:缝内暂堵:排量:mean,no
430,工况 缝内暂堵,施工特征,排量方差: 0.0,E0426,E0431,worktype:红页L1HF:15:加砂中:缝内暂堵,worktype_stats:红页L1HF:15:加砂中:缝内暂堵:排量:var,no
431,工况 缝内暂堵,施工特征,施工泵压平均值: 79.59,E0426,E0432,worktype:红页L1HF:15:加砂中:缝内暂堵,worktype_stats:红页L1HF:15:加砂中:缝内暂堵:施工泵压:mean,no
432,工况 缝内暂堵,施工特征,施工泵压方差: 10.8411,E0426,E0433,worktype:红页L1HF:15:加砂中:缝内暂堵,worktype_stats:红页L1HF:15:加砂中:缝内暂堵:施工泵压:var,no
433,工况 缝内暂堵,处置建议,当前建议: 无建议,E0426,E0434,worktype:红页L1HF:15:加砂中:缝内暂堵,suggestion:红页L1HF:15:加砂中:缝内暂堵,no
434,施工情况 加砂中,发生工况,工况 缝口暂堵,E0418,E0435,condition:红页L1HF:15:加砂中,worktype:红页L1HF:15:加砂中:缝口暂堵,no
435,工况 缝口暂堵,开始时间,工况时间 2024-01-11 15:39:30,E0435,E0436,worktype:红页L1HF:15:加砂中:缝口暂堵,worktype_time:红页L1HF:15:加砂中:缝口暂堵,no
436,工况 缝口暂堵,施工特征,砂比平均值: 6.9324,E0435,E0437,worktype:红页L1HF:15:加砂中:缝口暂堵,worktype_stats:红页L1HF:15:加砂中:缝口暂堵:砂比:mean,no
437,工况 缝口暂堵,施工特征,砂比方差: 11.8265,E0435,E0438,worktype:红页L1HF:15:加砂中:缝口暂堵,worktype_stats:红页L1HF:15:加砂中:缝口暂堵:砂比:var,no
438,工况 缝口暂堵,施工特征,排量平均值: 20.8909,E0435,E0439,worktype:红页L1HF:15:加砂中:缝口暂堵,worktype_stats:红页L1HF:15:加砂中:缝口暂堵:排量:mean,no
439,工况 缝口暂堵,施工特征,排量方差: 8.5131,E0435,E0440,worktype:红页L1HF:15:加砂中:缝口暂堵,worktype_stats:红页L1HF:15:加砂中:缝口暂堵:排量:var,no
440,工况 缝口暂堵,施工特征,施工泵压平均值: 82.9129,E0435,E0441,worktype:红页L1HF:15:加砂中:缝口暂堵,worktype_stats:红页L1HF:15:加砂中:缝口暂堵:施工泵压:mean,no
441,工况 缝口暂堵,施工特征,施工泵压方差: 40.3184,E0435,E0442,worktype:红页L1HF:15:加砂中:缝口暂堵,worktype_stats:红页L1HF:15:加砂中:缝口暂堵:施工泵压:var,no
442,工况 缝口暂堵,处置建议,当前建议: 无建议,E0435,E0443,worktype:红页L1HF:15:加砂中:缝口暂堵,suggestion:红页L1HF:15:加砂中:缝口暂堵,no
443,施工情况 加砂中,发生工况,工况 主缝延伸,E0418,E0444,condition:红页L1HF:15:加砂中,worktype:红页L1HF:15:加砂中:主缝延伸,no
444,工况 主缝延伸,开始时间,工况时间 2024-01-11 16:47:10,E0444,E0445,worktype:红页L1HF:15:加砂中:主缝延伸,worktype_time:红页L1HF:15:加砂中:主缝延伸,no
445,工况 主缝延伸,施工特征,砂比平均值: 10.2479,E0444,E0446,worktype:红页L1HF:15:加砂中:主缝延伸,worktype_stats:红页L1HF:15:加砂中:主缝延伸:砂比:mean,no
446,工况 主缝延伸,施工特征,砂比方差: 2.0143,E0444,E0447,worktype:红页L1HF:15:加砂中:主缝延伸,worktype_stats:红页L1HF:15:加砂中:主缝延伸:砂比:var,no
447,工况 主缝延伸,施工特征,排量平均值: 21.6858,E0444,E0448,worktype:红页L1HF:15:加砂中:主缝延伸,worktype_stats:红页L1HF:15:加砂中:主缝延伸:排量:mean,no
448,工况 主缝延伸,施工特征,排量方差: 0.4073,E0444,E0449,worktype:红页L1HF:15:加砂中:主缝延伸,worktype_stats:红页L1HF:15:加砂中:主缝延伸:排量:var,no
449,工况 主缝延伸,施工特征,施工泵压平均值: 85.8093,E0444,E0450,worktype:红页L1HF:15:加砂中:主缝延伸,worktype_stats:红页L1HF:15:加砂中:主缝延伸:施工泵压:mean,no
450,工况 主缝延伸,施工特征,施工泵压方差: 1.9216,E0444,E0451,worktype:红页L1HF:15:加砂中:主缝延伸,worktype_stats:红页L1HF:15:加砂中:主缝延伸:施工泵压:var,no
451,工况 主缝延伸,处置建议,当前建议: 保持当前措施,E0444,E0452,worktype:红页L1HF:15:加砂中:主缝延伸,suggestion:红页L1HF:15:加砂中:主缝延伸,no
452,段号 15,包含施工阶段,施工情况 加砂后,E0393,E0453,segment:红页L1HF:15,condition:红页L1HF:15:加砂后,no
453,施工情况 加砂后,开始时间,施工时间 2024-01-11 17:11:10,E0453,E0454,condition:红页L1HF:15:加砂后,condition_time:红页L1HF:15:加砂后,no
454,施工情况 加砂后,施工特征,砂比平均值: 无数据,E0453,E0455,condition:红页L1HF:15:加砂后,condition_stats:红页L1HF:15:加砂后:砂比:mean,no
455,施工情况 加砂后,施工特征,砂比方差: 无数据,E0453,E0456,condition:红页L1HF:15:加砂后,condition_stats:红页L1HF:15:加砂后:砂比:var,no
456,施工情况 加砂后,施工特征,排量平均值: 2.3294,E0453,E0457,condition:红页L1HF:15:加砂后,condition_stats:红页L1HF:15:加砂后:排量:mean,no
457,施工情况 加砂后,施工特征,排量方差: 44.5358,E0453,E0458,condition:红页L1HF:15:加砂后,condition_stats:红页L1HF:15:加砂后:排量:var,no
458,施工情况 加砂后,施工特征,施工泵压平均值: 42.1042,E0453,E0459,condition:红页L1HF:15:加砂后,condition_stats:红页L1HF:15:加砂后:施工泵压:mean,no
459,施工情况 加砂后,施工特征,施工泵压方差: 223.4635,E0453,E0460,condition:红页L1HF:15:加砂后,condition_stats:红页L1HF:15:加砂后:施工泵压:var,no
460,施工情况 加砂后,发生工况,工况 主缝延伸,E0453,E0461,condition:红页L1HF:15:加砂后,worktype:红页L1HF:15:加砂后:主缝延伸,no
461,工况 主缝延伸,开始时间,工况时间 2024-01-11 17:11:10,E0461,E0462,worktype:红页L1HF:15:加砂后:主缝延伸,worktype_time:红页L1HF:15:加砂后:主缝延伸,no
462,工况 主缝延伸,施工特征,砂比平均值: 无数据,E0461,E0463,worktype:红页L1HF:15:加砂后:主缝延伸,worktype_stats:红页L1HF:15:加砂后:主缝延伸:砂比:mean,no
463,工况 主缝延伸,施工特征,砂比方差: 无数据,E0461,E0464,worktype:红页L1HF:15:加砂后:主缝延伸,worktype_stats:红页L1HF:15:加砂后:主缝延伸:砂比:var,no
464,工况 主缝延伸,施工特征,排量平均值: 22.16,E0461,E0465,worktype:红页L1HF:15:加砂后:主缝延伸,worktype_stats:红页L1HF:15:加砂后:主缝延伸:排量:mean,no
465,工况 主缝延伸,施工特征,排量方差: 0.0,E0461,E0466,worktype:红页L1HF:15:加砂后:主缝延伸,worktype_stats:红页L1HF:15:加砂后:主缝延伸:排量:var,no
466,工况 主缝延伸,施工特征,施工泵压平均值: 86.2267,E0461,E0467,worktype:红页L1HF:15:加砂后:主缝延伸,worktype_stats:红页L1HF:15:加砂后:主缝延伸:施工泵压:mean,no
467,工况 主缝延伸,施工特征,施工泵压方差: 0.003,E0461,E0468,worktype:红页L1HF:15:加砂后:主缝延伸,worktype_stats:红页L1HF:15:加砂后:主缝延伸:施工泵压:var,no
468,工况 主缝延伸,处置建议,当前建议: 保持当前措施,E0461,E0469,worktype:红页L1HF:15:加砂后:主缝延伸,suggestion:红页L1HF:15:加砂后:主缝延伸,no
469,井号 红页L1HF,包含段,段号 16,E0001,E0470,well:红页L1HF,segment:红页L1HF:16,no
470,段号 16,开始时间,段号时间 2024-01-12 08:03:30,E0470,E0471,segment:红页L1HF:16,segment_time:红页L1HF:16,no
471,段号 16,施工特征,砂比平均值: 9.7534,E0470,E0472,segment:红页L1HF:16,segment_stats:红页L1HF:16:砂比:mean,no
472,段号 16,施工特征,砂比方差: 8.2606,E0470,E0473,segment:红页L1HF:16,segment_stats:红页L1HF:16:砂比:var,no
473,段号 16,施工特征,排量平均值: 17.0401,E0470,E0474,segment:红页L1HF:16,segment_stats:红页L1HF:16:排量:mean,no
474,段号 16,施工特征,排量方差: 100.2111,E0470,E0475,segment:红页L1HF:16,segment_stats:红页L1HF:16:排量:var,no
475,段号 16,施工特征,施工泵压平均值: 70.1239,E0470,E0476,segment:红页L1HF:16,segment_stats:红页L1HF:16:施工泵压:mean,no
476,段号 16,施工特征,施工泵压方差: 409.1276,E0470,E0477,segment:红页L1HF:16,segment_stats:红页L1HF:16:施工泵压:var,no
477,段号 16,包含施工阶段,施工情况 加砂前,E0470,E0478,segment:红页L1HF:16,condition:红页L1HF:16:加砂前,no
478,施工情况 加砂前,开始时间,施工时间 2024-01-12 08:03:30,E0478,E0479,condition:红页L1HF:16:加砂前,condition_time:红页L1HF:16:加砂前,no
479,施工情况 加砂前,施工特征,砂比平均值: 无数据,E0478,E0480,condition:红页L1HF:16:加砂前,condition_stats:红页L1HF:16:加砂前:砂比:mean,no
480,施工情况 加砂前,施工特征,砂比方差: 无数据,E0478,E0481,condition:红页L1HF:16:加砂前,condition_stats:红页L1HF:16:加砂前:砂比:var,no
481,施工情况 加砂前,施工特征,排量平均值: 8.3459,E0478,E0482,condition:红页L1HF:16:加砂前,condition_stats:红页L1HF:16:加砂前:排量:mean,no
482,施工情况 加砂前,施工特征,排量方差: 54.6486,E0478,E0483,condition:红页L1HF:16:加砂前,condition_stats:红页L1HF:16:加砂前:排量:var,no
483,施工情况 加砂前,施工特征,施工泵压平均值: 59.9171,E0478,E0484,condition:红页L1HF:16:加砂前,condition_stats:红页L1HF:16:加砂前:施工泵压:mean,no
484,施工情况 加砂前,施工特征,施工泵压方差: 274.3572,E0478,E0485,condition:红页L1HF:16:加砂前,condition_stats:红页L1HF:16:加砂前:施工泵压:var,no
485,施工情况 加砂前,发生工况,工况 缝高延伸,E0478,E0486,condition:红页L1HF:16:加砂前,worktype:红页L1HF:16:加砂前:缝高延伸,no
486,工况 缝高延伸,开始时间,工况时间 2024-01-12 08:24:50,E0486,E0487,worktype:红页L1HF:16:加砂前:缝高延伸,worktype_time:红页L1HF:16:加砂前:缝高延伸,no
487,工况 缝高延伸,施工特征,砂比平均值: 无数据,E0486,E0488,worktype:红页L1HF:16:加砂前:缝高延伸,worktype_stats:红页L1HF:16:加砂前:缝高延伸:砂比:mean,no
488,工况 缝高延伸,施工特征,砂比方差: 无数据,E0486,E0489,worktype:红页L1HF:16:加砂前:缝高延伸,worktype_stats:红页L1HF:16:加砂前:缝高延伸:砂比:var,no
489,工况 缝高延伸,施工特征,排量平均值: 17.3989,E0486,E0490,worktype:红页L1HF:16:加砂前:缝高延伸,worktype_stats:红页L1HF:16:加砂前:缝高延伸:排量:mean,no
490,工况 缝高延伸,施工特征,排量方差: 11.6116,E0486,E0491,worktype:红页L1HF:16:加砂前:缝高延伸,worktype_stats:红页L1HF:16:加砂前:缝高延伸:排量:var,no
491,工况 缝高延伸,施工特征,施工泵压平均值: 80.4586,E0486,E0492,worktype:红页L1HF:16:加砂前:缝高延伸,worktype_stats:红页L1HF:16:加砂前:缝高延伸:施工泵压:mean,no
492,工况 缝高延伸,施工特征,施工泵压方差: 47.5503,E0486,E0493,worktype:红页L1HF:16:加砂前:缝高延伸,worktype_stats:红页L1HF:16:加砂前:缝高延伸:施工泵压:var,no
493,工况 缝高延伸,处置建议,当前建议: 保持当前措施,E0486,E0494,worktype:红页L1HF:16:加砂前:缝高延伸,suggestion:红页L1HF:16:加砂前:缝高延伸,no
494,段号 16,包含施工阶段,施工情况 加砂中,E0470,E0495,segment:红页L1HF:16,condition:红页L1HF:16:加砂中,no
495,施工情况 加砂中,开始时间,施工时间 2024-01-12 08:35:20,E0495,E0496,condition:红页L1HF:16:加砂中,condition_time:红页L1HF:16:加砂中,no
496,施工情况 加砂中,施工特征,砂比平均值: 9.7534,E0495,E0497,condition:红页L1HF:16:加砂中,condition_stats:红页L1HF:16:加砂中:砂比:mean,no
497,施工情况 加砂中,施工特征,砂比方差: 8.2606,E0495,E0498,condition:红页L1HF:16:加砂中,condition_stats:红页L1HF:16:加砂中:砂比:var,no
498,施工情况 加砂中,施工特征,排量平均值: 23.6068,E0495,E0499,condition:红页L1HF:16:加砂中,condition_stats:红页L1HF:16:加砂中:排量:mean,no
499,施工情况 加砂中,施工特征,排量方差: 2.1272,E0495,E0500,condition:红页L1HF:16:加砂中,condition_stats:红页L1HF:16:加砂中:排量:var,no
500,施工情况 加砂中,施工特征,施工泵压平均值: 82.1263,E0495,E0501,condition:红页L1HF:16:加砂中,condition_stats:红页L1HF:16:加砂中:施工泵压:mean,no
501,施工情况 加砂中,施工特征,施工泵压方差: 28.1115,E0495,E0502,condition:红页L1HF:16:加砂中,condition_stats:红页L1HF:16:加砂中:施工泵压:var,no
502,施工情况 加砂中,发生工况,工况 缝内暂堵,E0495,E0503,condition:红页L1HF:16:加砂中,worktype:红页L1HF:16:加砂中:缝内暂堵,no
503,工况 缝内暂堵,开始时间,工况时间 2024-01-12 08:53:20,E0503,E0504,worktype:红页L1HF:16:加砂中:缝内暂堵,worktype_time:红页L1HF:16:加砂中:缝内暂堵,no
504,工况 缝内暂堵,施工特征,砂比平均值: 6.875,E0503,E0505,worktype:红页L1HF:16:加砂中:缝内暂堵,worktype_stats:红页L1HF:16:加砂中:缝内暂堵:砂比:mean,no
505,工况 缝内暂堵,施工特征,砂比方差: 2.3081,E0503,E0506,worktype:红页L1HF:16:加砂中:缝内暂堵,worktype_stats:红页L1HF:16:加砂中:缝内暂堵:砂比:var,no
506,工况 缝内暂堵,施工特征,排量平均值: 24.09,E0503,E0507,worktype:红页L1HF:16:加砂中:缝内暂堵,worktype_stats:红页L1HF:16:加砂中:缝内暂堵:排量:mean,no
507,工况 缝内暂堵,施工特征,排量方差: 0.0,E0503,E0508,worktype:红页L1HF:16:加砂中:缝内暂堵,worktype_stats:红页L1HF:16:加砂中:缝内暂堵:排量:var,no
508,工况 缝内暂堵,施工特征,施工泵压平均值: 78.4248,E0503,E0509,worktype:红页L1HF:16:加砂中:缝内暂堵,worktype_stats:红页L1HF:16:加砂中:缝内暂堵:施工泵压:mean,no
509,工况 缝内暂堵,施工特征,施工泵压方差: 4.2795,E0503,E0510,worktype:红页L1HF:16:加砂中:缝内暂堵,worktype_stats:红页L1HF:16:加砂中:缝内暂堵:施工泵压:var,no
510,工况 缝内暂堵,处置建议,当前建议: 无建议,E0503,E0511,worktype:红页L1HF:16:加砂中:缝内暂堵,suggestion:红页L1HF:16:加砂中:缝内暂堵,no
511,施工情况 加砂中,发生工况,工况 缝口暂堵,E0495,E0512,condition:红页L1HF:16:加砂中,worktype:红页L1HF:16:加砂中:缝口暂堵,no
512,工况 缝口暂堵,开始时间,工况时间 2024-01-12 09:11:10,E0512,E0513,worktype:红页L1HF:16:加砂中:缝口暂堵,worktype_time:红页L1HF:16:加砂中:缝口暂堵,no
513,工况 缝口暂堵,施工特征,砂比平均值: 7.2583,E0512,E0514,worktype:红页L1HF:16:加砂中:缝口暂堵,worktype_stats:红页L1HF:16:加砂中:缝口暂堵:砂比:mean,no
514,工况 缝口暂堵,施工特征,砂比方差: 3.6691,E0512,E0515,worktype:红页L1HF:16:加砂中:缝口暂堵,worktype_stats:红页L1HF:16:加砂中:缝口暂堵:砂比:var,no
515,工况 缝口暂堵,施工特征,排量平均值: 21.7429,E0512,E0516,worktype:红页L1HF:16:加砂中:缝口暂堵,worktype_stats:红页L1HF:16:加砂中:缝口暂堵:排量:mean,no
516,工况 缝口暂堵,施工特征,排量方差: 4.9445,E0512,E0517,worktype:红页L1HF:16:加砂中:缝口暂堵,worktype_stats:红页L1HF:16:加砂中:缝口暂堵:排量:var,no
517,工况 缝口暂堵,施工特征,施工泵压平均值: 79.7519,E0512,E0518,worktype:红页L1HF:16:加砂中:缝口暂堵,worktype_stats:红页L1HF:16:加砂中:缝口暂堵:施工泵压:mean,no
518,工况 缝口暂堵,施工特征,施工泵压方差: 76.2462,E0512,E0519,worktype:红页L1HF:16:加砂中:缝口暂堵,worktype_stats:红页L1HF:16:加砂中:缝口暂堵:施工泵压:var,no
519,工况 缝口暂堵,处置建议,当前建议: 无建议,E0512,E0520,worktype:红页L1HF:16:加砂中:缝口暂堵,suggestion:红页L1HF:16:加砂中:缝口暂堵,no
520,施工情况 加砂中,发生工况,工况 主缝延伸,E0495,E0521,condition:红页L1HF:16:加砂中,worktype:红页L1HF:16:加砂中:主缝延伸,no
521,工况 主缝延伸,开始时间,工况时间 2024-01-12 10:24:10,E0521,E0522,worktype:红页L1HF:16:加砂中:主缝延伸,worktype_time:红页L1HF:16:加砂中:主缝延伸,no
522,工况 主缝延伸,施工特征,砂比平均值: 12.1309,E0521,E0523,worktype:红页L1HF:16:加砂中:主缝延伸,worktype_stats:红页L1HF:16:加砂中:主缝延伸:砂比:mean,no
523,工况 主缝延伸,施工特征,砂比方差: 3.9306,E0521,E0524,worktype:红页L1HF:16:加砂中:主缝延伸,worktype_stats:红页L1HF:16:加砂中:主缝延伸:砂比:var,no
524,工况 主缝延伸,施工特征,排量平均值: 23.867,E0521,E0525,worktype:红页L1HF:16:加砂中:主缝延伸,worktype_stats:红页L1HF:16:加砂中:主缝延伸:排量:mean,no
525,工况 主缝延伸,施工特征,排量方差: 0.1132,E0521,E0526,worktype:红页L1HF:16:加砂中:主缝延伸,worktype_stats:红页L1HF:16:加砂中:主缝延伸:排量:var,no
526,工况 主缝延伸,施工特征,施工泵压平均值: 87.4897,E0521,E0527,worktype:红页L1HF:16:加砂中:主缝延伸,worktype_stats:红页L1HF:16:加砂中:主缝延伸:施工泵压:mean,no
527,工况 主缝延伸,施工特征,施工泵压方差: 0.7559,E0521,E0528,worktype:红页L1HF:16:加砂中:主缝延伸,worktype_stats:红页L1HF:16:加砂中:主缝延伸:施工泵压:var,no
528,工况 主缝延伸,处置建议,当前建议: 保持当前措施,E0521,E0529,worktype:红页L1HF:16:加砂中:主缝延伸,suggestion:红页L1HF:16:加砂中:主缝延伸,no
529,段号 16,包含施工阶段,施工情况 加砂后,E0470,E0530,segment:红页L1HF:16,condition:红页L1HF:16:加砂后,no
530,施工情况 加砂后,开始时间,施工时间 2024-01-12 10:40:40,E0530,E0531,condition:红页L1HF:16:加砂后,condition_time:红页L1HF:16:加砂后,no
531,施工情况 加砂后,施工特征,砂比平均值: 无数据,E0530,E0532,condition:红页L1HF:16:加砂后,condition_stats:红页L1HF:16:加砂后:砂比:mean,no
532,施工情况 加砂后,施工特征,砂比方差: 无数据,E0530,E0533,condition:红页L1HF:16:加砂后,condition_stats:红页L1HF:16:加砂后:砂比:var,no
533,施工情况 加砂后,施工特征,排量平均值: 2.2226,E0530,E0534,condition:红页L1HF:16:加砂后,condition_stats:红页L1HF:16:加砂后:排量:mean,no
534,施工情况 加砂后,施工特征,排量方差: 45.4675,E0530,E0535,condition:红页L1HF:16:加砂后,condition_stats:红页L1HF:16:加砂后:排量:var,no
535,施工情况 加砂后,施工特征,施工泵压平均值: 37.6163,E0530,E0536,condition:红页L1HF:16:加砂后,condition_stats:红页L1HF:16:加砂后:施工泵压:mean,no
536,施工情况 加砂后,施工特征,施工泵压方差: 215.7261,E0530,E0537,condition:红页L1HF:16:加砂后,condition_stats:红页L1HF:16:加砂后:施工泵压:var,no
537,施工情况 加砂后,发生工况,工况 主缝延伸,E0530,E0538,condition:红页L1HF:16:加砂后,worktype:红页L1HF:16:加砂后:主缝延伸,no
538,工况 主缝延伸,开始时间,工况时间 2024-01-12 10:40:40,E0538,E0539,worktype:红页L1HF:16:加砂后:主缝延伸,worktype_time:红页L1HF:16:加砂后:主缝延伸,no
539,工况 主缝延伸,施工特征,砂比平均值: 无数据,E0538,E0540,worktype:红页L1HF:16:加砂后:主缝延伸,worktype_stats:红页L1HF:16:加砂后:主缝延伸:砂比:mean,no
540,工况 主缝延伸,施工特征,砂比方差: 无数据,E0538,E0541,worktype:红页L1HF:16:加砂后:主缝延伸,worktype_stats:红页L1HF:16:加砂后:主缝延伸:砂比:var,no
541,工况 主缝延伸,施工特征,排量平均值: 24.07,E0538,E0542,worktype:红页L1HF:16:加砂后:主缝延伸,worktype_stats:红页L1HF:16:加砂后:主缝延伸:排量:mean,no
542,工况 主缝延伸,施工特征,排量方差: 0.0,E0538,E0543,worktype:红页L1HF:16:加砂后:主缝延伸,worktype_stats:红页L1HF:16:加砂后:主缝延伸:排量:var,no
543,工况 主缝延伸,施工特征,施工泵压平均值: 86.035,E0538,E0544,worktype:红页L1HF:16:加砂后:主缝延伸,worktype_stats:红页L1HF:16:加砂后:主缝延伸:施工泵压:mean,no
544,工况 主缝延伸,施工特征,施工泵压方差: 0.0903,E0538,E0545,worktype:红页L1HF:16:加砂后:主缝延伸,worktype_stats:红页L1HF:16:加砂后:主缝延伸:施工泵压:var,no
545,工况 主缝延伸,处置建议,当前建议: 保持当前措施,E0538,E0546,worktype:红页L1HF:16:加砂后:主缝延伸,suggestion:红页L1HF:16:加砂后:主缝延伸,no
546,井号 红页L1HF,包含段,段号 17,E0001,E0547,well:红页L1HF,segment:红页L1HF:17,no
547,段号 17,开始时间,段号时间 2024-01-12 14:47:30,E0547,E0548,segment:红页L1HF:17,segment_time:红页L1HF:17,no
548,段号 17,施工特征,砂比平均值: 8.9616,E0547,E0549,segment:红页L1HF:17,segment_stats:红页L1HF:17:砂比:mean,no
549,段号 17,施工特征,砂比方差: 6.0108,E0547,E0550,segment:红页L1HF:17,segment_stats:红页L1HF:17:砂比:var,no
550,段号 17,施工特征,排量平均值: 18.2514,E0547,E0551,segment:红页L1HF:17,segment_stats:红页L1HF:17:排量:mean,no
551,段号 17,施工特征,排量方差: 53.2549,E0547,E0552,segment:红页L1HF:17,segment_stats:红页L1HF:17:排量:var,no
552,段号 17,施工特征,施工泵压平均值: 80.449,E0547,E0553,segment:红页L1HF:17,segment_stats:红页L1HF:17:施工泵压:mean,no
553,段号 17,施工特征,施工泵压方差: 193.6291,E0547,E0554,segment:红页L1HF:17,segment_stats:红页L1HF:17:施工泵压:var,no
554,段号 17,包含施工阶段,施工情况 加砂前,E0547,E0555,segment:红页L1HF:17,condition:红页L1HF:17:加砂前,no
555,施工情况 加砂前,开始时间,施工时间 2024-01-12 14:47:30,E0555,E0556,condition:红页L1HF:17:加砂前,condition_time:红页L1HF:17:加砂前,no
556,施工情况 加砂前,施工特征,砂比平均值: 无数据,E0555,E0557,condition:红页L1HF:17:加砂前,condition_stats:红页L1HF:17:加砂前:砂比:mean,no
557,施工情况 加砂前,施工特征,砂比方差: 无数据,E0555,E0558,condition:红页L1HF:17:加砂前,condition_stats:红页L1HF:17:加砂前:砂比:var,no
558,施工情况 加砂前,施工特征,排量平均值: 9.0424,E0555,E0559,condition:红页L1HF:17:加砂前,condition_stats:红页L1HF:17:加砂前:排量:mean,no
559,施工情况 加砂前,施工特征,排量方差: 68.4896,E0555,E0560,condition:红页L1HF:17:加砂前,condition_stats:红页L1HF:17:加砂前:排量:var,no
560,施工情况 加砂前,施工特征,施工泵压平均值: 59.5404,E0555,E0561,condition:红页L1HF:17:加砂前,condition_stats:红页L1HF:17:加砂前:施工泵压:mean,no
561,施工情况 加砂前,施工特征,施工泵压方差: 351.5429,E0555,E0562,condition:红页L1HF:17:加砂前,condition_stats:红页L1HF:17:加砂前:施工泵压:var,no
562,段号 17,包含施工阶段,施工情况 加砂中,E0547,E0563,segment:红页L1HF:17,condition:红页L1HF:17:加砂中,no
563,施工情况 加砂中,开始时间,施工时间 2024-01-12 15:18:00,E0563,E0564,condition:红页L1HF:17:加砂中,condition_time:红页L1HF:17:加砂中,no
564,施工情况 加砂中,施工特征,砂比平均值: 8.9616,E0563,E0565,condition:红页L1HF:17:加砂中,condition_stats:红页L1HF:17:加砂中:砂比:mean,no
